27,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.349,0.349,0.345,0.351,0.343,0.346,0.349,0.349,0.346,0.347,13.783,13.825,13.742,13.78,13.782,13.746,13.753,13.799,13.827,13.773,0.35,0.35,0.347,0.352,0.347,0.345,0.349,0.351,0.347,0.348,0.35,0.35,0.346,0.352,0.348,0.346,0.35,0.35,0.347,0.348
28,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.362,0.363,0.356,0.364,0.359,0.357,0.362,0.363,0.36,0.359,14.316,14.262,14.255,14.292,14.29,14.26,14.284,14.288,14.297,14.289,0.363,0.363,0.359,0.364,0.359,0.357,0.363,0.363,0.36,0.359,0.363,0.364,0.359,0.365,0.361,0.359,0.364,0.364,0.361,0.361
29,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.387,0.374,0.37,0.377,0.373,0.37,0.376,0.375,0.372,0.372,14.762,14.795,14.761,14.789,14.802,14.763,14.784,14.792,14.786,14.797,0.375,0.377,0.372,0.377,0.373,0.372,0.377,0.373,0.373,0.373,0.376,0.376,0.372,0.378,0.373,0.373,0.378,0.373,0.373,0.373
30,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.387,0.389,0.384,0.39,0.385,0.383,0.388,0.384,0.386,0.385,15.26,15.278,15.304,15.308,15.291,15.272,15.306,15.319,15.312,15.314,0.388,0.389,0.384,0.39,0.385,0.384,0.389,0.384,0.386,0.386,0.389,0.391,0.384,0.391,0.387,0.385,0.389,0.384,0.385,0.386
31,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.401,0.401,0.397,0.403,0.399,0.397,0.401,0.397,0.398,0.398,15.807,15.796,15.784,15.828,15.796,15.77,15.804,15.82,15.811,15.816,0.401,0.401,0.396,0.403,0.399,0.396,0.402,0.398,0.399,0.398,0.401,0.403,0.397,0.404,0.4,0.398,0.401,0.399,0.399,0.4
32,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.412,0.416,0.409,0.417,0.412,0.409,0.415,0.41,0.411,0.411,16.281,16.307,16.311,16.344,16.307,16.285,16.301,16.336,16.34,16.35,0.414,0.414,0.41,0.416,0.411,0.411,0.41,0.41,0.412,0.413,0.414,0.415,0.41,0.416,0.413,0.41,0.411,0.41,0.412,0.413
33,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.427,0.426,0.422,0.43,0.424,0.421,0.421,0.422,0.425,0.425,16.84,16.806,16.806,16.838,16.811,16.798,16.845,16.831,16.832,16.839,0.426,0.43,0.423,0.431,0.425,0.423,0.43,0.424,0.425,0.425,0.427,0.43,0.424,0.431,0.425,0.425,0.429,0.424,0.424,0.425
34,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.438,0.44,0.436,0.441,0.438,0.436,0.44,0.436,0.437,0.437,17.319,17.333,17.328,17.373,17.322,17.306,17.335,17.34,17.344,17.351,0.438,0.441,0.435,0.443,0.439,0.435,0.44,0.435,0.436,0.438,0.439,0.442,0.437,0.443,0.439,0.436,0.44,0.436,0.437,0.438
35,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.452,0.451,0.447,0.455,0.451,0.447,0.454,0.448,0.448,0.451,17.834,17.828,17.825,17.846,17.849,17.806,17.844,17.863,17.923,17.893,0.452,0.453,0.449,0.454,0.45,0.448,0.454,0.45,0.45,0.451,0.451,0.453,0.449,0.457,0.451,0.449,0.454,0.449,0.451,0.451
36,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.463,0.466,0.459,0.468,0.462,0.461,0.467,0.46,0.462,0.464,18.339,18.336,18.333,18.37,18.34,18.325,18.367,18.347,18.387,18.374,0.464,0.467,0.461,0.468,0.463,0.461,0.469,0.461,0.462,0.463,0.464,0.468,0.463,0.468,0.465,0.462,0.467,0.461,0.464,0.464
37,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.477,0.478,0.473,0.481,0.476,0.473,0.479,0.474,0.474,0.476,18.836,18.86,18.848,18.895,18.857,18.887,18.888,18.871,18.88,18.873,0.477,0.479,0.475,0.483,0.477,0.479,0.48,0.474,0.476,0.477,0.477,0.48,0.474,0.483,0.477,0.48,0.48,0.475,0.476,0.477
38,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.487,0.491,0.486,0.495,0.489,0.492,0.49,0.487,0.488,0.487,19.359,19.343,19.341,19.399,19.343,19.345,19.393,19.374,19.376,19.402,0.491,0.493,0.488,0.495,0.49,0.493,0.492,0.487,0.489,0.491,0.49,0.494,0.487,0.495,0.49,0.493,0.494,0.489,0.488,0.49
39,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.502,0.505,0.498,0.507,0.501,0.505,0.505,0.498,0.501,0.503,19.855,19.867,19.862,19.889,19.865,19.856,19.897,19.908,19.886,19.906,0.505,0.507,0.5,0.506,0.502,0.505,0.507,0.501,0.501,0.503,0.505,0.507,0.501,0.508,0.503,0.507,0.506,0.502,0.5,0.504
40,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.516,0.518,0.512,0.521,0.514,0.517,0.518,0.511,0.512,0.516,20.371,20.372,20.359,20.422,20.364,20.385,20.403,20.413,20.426,20.404,0.516,0.52,0.513,0.522,0.515,0.518,0.518,0.512,0.514,0.515,0.517,0.52,0.513,0.521,0.516,0.518,0.52,0.514,0.515,0.515
41,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.527,0.531,0.524,0.534,0.528,0.53,0.53,0.524,0.526,0.527,20.865,20.895,20.91,20.908,20.876,20.86,20.921,20.929,20.938,20.943,0.53,0.534,0.525,0.535,0.527,0.532,0.533,0.526,0.526,0.528,0.53,0.533,0.525,0.532,0.53,0.532,0.532,0.526,0.527,0.528
42,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.541,0.543,0.538,0.546,0.542,0.545,0.544,0.538,0.538,0.54,21.379,21.434,21.476,21.417,21.396,21.366,21.423,20.416,21.428,21.41,0.543,0.545,0.539,0.54,0.54,0.544,0.545,0.538,0.541,0.54,0.544,0.547,0.538,0.541,0.541,0.546,0.545,0.54,0.541,0.54
